virus_name	Accession_ID	Date	Originating_lab	Submitting_lab	Location
hCoV-19/USA/RI_0702/2020	EPI_ISL_424887	2020-03-05	Pathogen Discovery	Queen	USA
hCoV-19/Scotland/MILK-9C263C/2020	EPI_ISL_575984	2020-09-10	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/England/MILK-9AA6FE/2020	EPI_ISL_550944	2020-08-30	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Scotland/QEUH-96CEF0/2020	EPI_ISL_534524	2020-08-21	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Australia/VIC11781/2020	EPI_ISL_591849	2020-07-28	VIDRL and MDU-PHL	Schultz	Australia
hCoV-19/Switzerland/GE-SNRCI-8715/2020	EPI_ISL_548230	2020-03-00	Swiss National Reference Centre for Influenza	Gon\u00e7alves Cabecinhas	Switzerland
hCoV-19/Canada/ON-PHL-20-01249/2020	EPI_ISL_548871	2020-06-00	Public Health Ontario Laboratory	Guthrie	Canada
hCoV-19/England/NORT-29E08D/2020	EPI_ISL_493506	2020-05-06	COVID-19 Genomics UK (COG-UK) Consortium	Bashton	United Kingdom
hCoV-19/USA/WA-S299/2020	EPI_ISL_430153	2020-03-31	Seattle Flu Study	Bedford	USA
hCoV-19/Denmark/ALAB-HH46/2020	EPI_ISL_429300	2020-03-13	Albertsen lab	Kirkegaard	Denmark
hCoV-19/USA/CA-ALSR-1888/2020	EPI_ISL_512219	2020-05-20	Andersen lab at Scripps Research	Gangavarapu	USA
hCoV-19/USA/NM-DOH-2020322592/2020	EPI_ISL_575296	2020-09-03	Molecular Biology	Johnson	USA
hCoV-19/Canada/ON-S910/2020	EPI_ISL_591259	2020-04-13	McMaster University	McArthur	Canada
hCoV-19/Canada/MB-NML-168/2020	EPI_ISL_582245	2020-03-28	National Microbiology Laboratory (NML)	Majer	Canada
hCoV-19/England/EXET-1357B1/2020	EPI_ISL_457098	2020-04-11	COVID-19 Genomics UK (COG-UK) Consortium	Temperton	United Kingdom
hCoV-19/Switzerland/VD-ETHZ-100200/2020	EPI_ISL_574994	2020-03-17	Department of Biosystems Science and Engineering	Nadeau	Switzerland
hCoV-19/Wales/PHWC-2B843/2020	EPI_ISL_445769	2020-04-10	Public Health Wales Microbiology Cardiff	Moore	United Kingdom
hCoV-19/USA/CA-ALSR-1512/2020	EPI_ISL_494634	2020-04-21	Andersen lab at Scripps Research	Gangavarapu	USA
hCoV-19/England/ALDP-6634FA/2020	EPI_ISL_555654	2020-07-02	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Iceland/142/2020	EPI_ISL_417793	2020-03-13	deCODE genetics	J\u00f3nsson	Iceland
hCoV-19/Netherlands/Gelderland_77/2020	EPI_ISL_460976	2020-05-19	Erasmus Medical Center	Oude Munnink	Netherlands
hCoV-19/USA/WA-S190/2020	EPI_ISL_430228	2020-03-23	Seattle Flu Study	Bedford	USA
hCoV-19/England/ALDP-7211B4/2020	EPI_ISL_557707	2020-07-01	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/USA/MI-MDHHS-SC20458/2020	EPI_ISL_459997	2020-05-06	Michigan Department of Health and Human Services	Blankenship	USA
hCoV-19/USA/MD-MDH-0079/2020	EPI_ISL_509483	2020-05-25	Maryland Department of Health	Keller	USA
hCoV-19/USA/UT-04839/2020	EPI_ISL_470567	2020-04-21	Utah Public Health Laboratory	Young	USA
hCoV-19/England/LIVE-A6B65/2020	EPI_ISL_499776	2020-03-19	COVID-19 Genomics UK (COG-UK) Consortium	Haldenby	United Kingdom
hCoV-19/England/ALDP-9CD006/2020	EPI_ISL_566205	2020-09-16	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Scotland/QEUH-96E85A/2020	EPI_ISL_534455	2020-08-19	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/USA/CA-CZB-1084/2020	EPI_ISL_437084	2020-04-07	Chan-Zuckerberg Biohub	Hao	USA
hCoV-19/USA/LA-GBCL-26791773/2020	EPI_ISL_485381	2020-04-04	Ginkgo Bioworks Clinical Laboratory	Smith	USA
hCoV-19/Scotland/QEUH-9905B2/2020	EPI_ISL_534449	2020-08-29	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/USA/NY-NYUMC728/2020	EPI_ISL_451443	2020-03-26	Departments of Pathology and Medicine	Maurano	USA
hCoV-19/Japan/PG-0033/2020	EPI_ISL_479803	2020-02-28	Pathogen Genomics Center	Sekizuka	Japan
hCoV-19/USA/WA-S778/2020	EPI_ISL_449948	2020-04-14	Seattle Flu Study	Bedford	USA
hCoV-19/England/ALDP-9448B4/2020	EPI_ISL_555643	2020-06-07	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/England/QEUH-9983CF/2020	EPI_ISL_540012	2020-08-25	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Australia/VIC4277/2020	EPI_ISL_519605	2020-07-13	MDU-PHL	Schultz	Australia
hCoV-19/USA/TX-HMH-3361/2020	EPI_ISL_544146	2020-06-13	Houston Methodist Hospital	Long	USA
hCoV-19/England/CAMB-1B05D2/2020	EPI_ISL_448114	2020-05-06	COVID-19 Genomics UK (COG-UK) Consortium	Meredith	United Kingdom
hCoV-19/Switzerland/ZH-ETHZ-220023/2020	EPI_ISL_512006	2020-07-28	Department of Biosystems Science and Engineering	Nadeau	Switzerland
hCoV-19/USA/NY-NYUMC888/2020	EPI_ISL_467381	2020-04-03	Departments of Pathology and Medicine	Maurano	USA
hCoV-19/England/QEUH-9E50BD/2020	EPI_ISL_579917	2020-09-23	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Brazil/PR-5618/2020	EPI_ISL_541341	2020-03-17	Laboratory of Respiratory Viruses and Measles	Silva	Brazil
hCoV-19/India/TG-CCMB-L1893/2020	EPI_ISL_495169	2020-06-03	CSIR-Centre for Cellular and Molecular Biology	Banu	India
hCoV-19/Oman/205026721/2020	EPI_ISL_458127	2020-04-05	Department of\u00a0Microbiology\u00a0and Immunology-SQUH	AL Zadjali	Oman
hCoV-19/Belgium/BA-02291/2020	EPI_ISL_415159	2020-02-29	KU Leuven	Maes	Belgium
hCoV-19/USA/TX-HMH-7846/2020	EPI_ISL_545664	2020-07-01	Houston Methodist Hospital	Long	USA
hCoV-19/England/CAMB-7FBFC/2020	EPI_ISL_433490	2020-04-16	COVID-19 Genomics UK (COG-UK) Consortium	Meredith	United Kingdom
hCoV-19/Denmark/ALAB-HH88/2020	EPI_ISL_429328	2020-03-15	Albertsen lab	Kirkegaard	Denmark
hCoV-19/Wales/PHWC-16ECB0/2020	EPI_ISL_585848	2020-10-05	COVID-19 Genomics UK (COG-UK) Consortium	Moore	United Kingdom
hCoV-19/USA/WA-S1131/2020	EPI_ISL_463621	2020-05-04	Seattle Flu Study	Bedford	USA
hCoV-19/Belgium/ULG-10422/2020	EPI_ISL_581604	2020-08-14	GIGA Medical Genomics	Durkin	Belgium
hCoV-19/Wales/PHWC-16DAE4/2020	EPI_ISL_577489	2020-09-24	COVID-19 Genomics UK (COG-UK) Consortium	Moore	United Kingdom
hCoV-19/Sweden/20-51758/2020	EPI_ISL_469071	2020-05-27	The Public Health Agency of Sweden	Svartstr\u00f6m	Sweden
hCoV-19/Australia/VIC7012/2020	EPI_ISL_564197	2020-07-24	VIDRL and MDU-PHL	Schultz	Australia
hCoV-19/USA/CA-CZB-10823/2020	EPI_ISL_583073	2020-07-13	Chan-Zuckerberg Biohub	Bhatt	USA
hCoV-19/USA/ME-HETL-J0096/2020	EPI_ISL_513505	2020-03-19	Tewhey Lab	Tewhey	USA
hCoV-19/England/ALDP-94E049/2020	EPI_ISL_555395	2020-06-17	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/England/LOND-126082F/2020	EPI_ISL_524692	2020-04-05	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Australia/VIC299/2020	EPI_ISL_419990	2020-03-23	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory	Schultz	Australia
hCoV-19/England/ALDP-4AD793/2020	EPI_ISL_559654	2020-06-09	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/England/BRIS-13023D/2020	EPI_ISL_492644	2020-04-11	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Scotland/QEUH-960797/2020	EPI_ISL_532005	2020-08-05	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Canada/NS-NML-144/2020	EPI_ISL_579521	2020-04-13	National Microbiology Laboratory (NML)	Majer	Canada
hCoV-19/France/IDF-1980/2020	EPI_ISL_414633	2020-03-04	National Reference Center for Viruses of Respiratory Infections	Enouf	France
hCoV-19/Scotland/EDB3673/2020	EPI_ISL_439310	2020-04-27	COVID-19 Genomics UK (COG-UK) Consortium	Williams	United Kingdom
hCoV-19/USA/CA-CDC-4688/2020	EPI_ISL_535666	2020-06-03	Pathogen Discovery	Queen	USA
hCoV-19/England/CAMC-9B1E38/2020	EPI_ISL_549396	2020-09-04	COVID-19 Genomics UK (COG-UK) Consortium	Golubchik	United Kingdom
hCoV-19/Wuhan/HB-WH4-194/2020	EPI_ISL_454948	2020-03-24	State Key Laboratory of Biotherapy of Sichuan University	Tang	China
hCoV-19/Scotland/QEUH-96F613/2020	EPI_ISL_540336	2020-08-19	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/USA/WI-UW-1050/2020	EPI_ISL_516476	2020-07-29	University of Wisconsin-Madison AIDS Vaccine Research Laboratories	Baczenas	USA
hCoV-19/England/EXET-135F04/2020	EPI_ISL_457180	2020-04-06	COVID-19 Genomics UK (COG-UK) Consortium	Temperton	United Kingdom
hCoV-19/England/CAMC-990FA5/2020	EPI_ISL_551852	2020-08-26	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Scotland/CVR3983/2020	EPI_ISL_540780	2020-08-28	COVID-19 Genomics UK (COG-UK) Consortium	Robertson	United Kingdom
hCoV-19/Denmark/ALAB-SSI-1243/2020	EPI_ISL_444822	2020-03-11	Albertsen lab	Kirkegaard	Denmark
hCoV-19/England/QEUH-9FAEBB/2020	EPI_ISL_588183	2020-09-28	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/USA/MI-UM-10033792777/2020	EPI_ISL_578117	2020-03-27	Lauring Lab	Valesano	USA
hCoV-19/England/ALDP-9C503B/2020	EPI_ISL_567703	2020-09-10	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/England/QEUH-9D0B3C/2020	EPI_ISL_589843	2020-09-16	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/USA/MN-QDX-1022/2020	EPI_ISL_571748	2020-03-15	Quest Diagnostics	Kagan	USA
hCoV-19/England/OXON-B443C/2020	EPI_ISL_534955	2020-04-01	COVID-19 Genomics UK (COG-UK) Consortium	Golubchik	United Kingdom
hCoV-19/USA/CA-UCLA-98/2020	EPI_ISL_537607	2020-03-28	Kruglyak Lab	Boocock	USA
hCoV-19/Wales/MILK-9E2E2F/2020	EPI_ISL_581282	2020-09-21	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/England/LEED-2A8994/2020	EPI_ISL_539145	2020-04-03	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/USA/WA-UW-22162/2020	EPI_ISL_570567	2020-08-05	UW Virology Lab	Roychoudhury	USA
hCoV-19/Canada/MB-NML-600/2020	EPI_ISL_582284	2020-03-23	National Microbiology Laboratory (NML)	Majer	Canada
hCoV-19/Switzerland/TI-ETHZ-100070/2020	EPI_ISL_466992	2020-03-12	Department of Biosystems Science and Engineering	Nadeau	Switzerland
hCoV-19/England/ALDP-9D9B51/2020	EPI_ISL_576795	2020-09-18	COVID-19 Genomics UK (COG-UK) Consortium	Golubchik	United Kingdom
hCoV-19/USA/CA-ALSR-1584/2020	EPI_ISL_494672	2020-05-19	Andersen lab at Scripps Research	Gangavarapu	USA
hCoV-19/USA/LA-SR0285/2020	EPI_ISL_445140	2020-04-01	Andersen lab at Scripps Research	Gangavarapu	USA
hCoV-19/England/ALDP-9E6B8E/2020	EPI_ISL_580510	2020-09-24	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Canada/ON-S786/2020	EPI_ISL_591227	2020-04-00	McMaster University	McArthur	Canada
